Company Name,Address,City,State,Zip,Primary SIC Code,Primary SIC Description,SIC Code 1,SIC Code 1 Description,Record Type
Sweet Water Tavern,16909 Harper Ave,Detroit,MI,48224,581301,Bars,581301,Bars,Verified
Sweetwater Tavern,400 E Congress St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
T V Lounge,2548 Grand River Ave,Detroit,MI,48201,581303,Cocktail Lounges,581303,Cocktail Lounges,Verified
Tap,1777 3rd St # Mgmgrand,Detroit,MI,48226,799302,Casinos,799302,Casinos,Verified
Temple Bar,2906 Cass Ave,Detroit,MI,48201,581301,Bars,581301,Bars,Verified
Temptation,8203 W Chicago,Detroit,MI,48204,864108,Clubs,864108,Clubs,Verified
Teresa's Place,14000 W Mcnichols Rd,Detroit,MI,48235,581301,Bars,581301,Bars,Verified
TGI Friday's,1 Detroit Metro Airport # N-18,Detroit,MI,48242,581208,Restaurants,581208,Restaurants,Verified
Thomas Magee's,1412 E Fisher Fwy,Detroit,MI,48207,581301,Bars,581301,Bars,Verified
Tippin In Lounge,18430 Mount Elliott St,Detroit,MI,48234,581208,Restaurants,581208,Restaurants,Verified
Tom's Tavern,10093 W 7 Mile Rd,Detroit,MI,48221,581208,Restaurants,581208,Restaurants,Verified
Tommy's Detroit Bar & Grill,624 3rd St,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Tony V's Tavern,5756 Cass Ave,Detroit,MI,48202,581301,Bars,581301,Bars,Verified
Town Pump Tavern,100 W Montcalm St,Detroit,MI,48201,581301,Bars,581301,Bars,Verified
Townhouse,500 Woodward Ave # 200,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
Toy Box 2,24351 W Mcnichols Rd,Detroit,MI,48219,581303,Cocktail Lounges,581303,Cocktail Lounges,Verified
Traffic Jam & Snug,511 W Canfield St,Detroit,MI,48201,581208,Restaurants,581208,Restaurants,Verified
Varsity Lounge,8867 Livernois Ave,Detroit,MI,48204,581301,Bars,581301,Bars,Verified
Verdell's Lounge,14826 Plymouth Rd,Detroit,MI,48227,581303,Cocktail Lounges,581303,Cocktail Lounges,Verified
Vertical Detroit,1538 Centre St,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Vicki's Bar & Grill,19205 Schoolcraft,Detroit,MI,48223,581301,Bars,581301,Bars,Verified
Wall Street Lounge LLC,18458 James Couzens Fwy,Detroit,MI,48235,581301,Bars,581301,Bars,Verified
Warrendale Bar,17621 W Warren Ave,Detroit,MI,48228,581301,Bars,581301,Bars,Verified
West Fort Bar & Grill,7642 W Fort St,Detroit,MI,48209,581301,Bars,581301,Bars,Verified
Woodbridge Pub,5169 Trumbull St,Detroit,MI,48208,581208,Restaurants,581208,Restaurants,Verified
Woodward Cocktail Bar,6426 Woodward Ave,Detroit,MI,48202,581301,Bars,581301,Bars,Verified
Works Club & Grill,1846 Michigan Ave,Detroit,MI,48216,581301,Bars,581301,Bars,Verified
Ziggy's Bar & Grill,16390 E Warren Ave,Detroit,MI,48224,581301,Bars,581301,Bars,Verified
