CompanyName,Address,City,State,ZIPCode,PrimarySICCode,PrimarySICDescription,Latitude,Longitude
Mirage Communication,13887 Gratiot Ave,Detroit,MI,48205,592102,Liquors-Retail,42.4295279,-82.9818007
Miramar Market,18225 Schaefer Hwy,Detroit,MI,48235,592102,Liquors-Retail,42.4242854,-83.1805119
Moore Liquor,5510 E 7 Mile Rd,Detroit,MI,48234,592102,Liquors-Retail,42.43340255,-83.04691764
Motor City Market,20500 Plymouth Rd,Detroit,MI,48228,592102,Liquors-Retail,42.3721559,-83.2415554
Motown Food & Liquor,18910 W 7 Mile Rd,Detroit,MI,48219,592102,Liquors-Retail,42.42993857,-83.22868365
N & R Liquor Inc,18320 W Chicago St,Detroit,MI,48228,592102,Liquors-Retail,42.36510166,-83.21932935
New Center Liquor Store,7400 Woodward Ave,Detroit,MI,48202,592102,Liquors-Retail,42.3714993,-83.0734989
Newport Party Store,14201 Harper Ave,Detroit,MI,48213,592102,Liquors-Retail,42.4041345,-82.9672538
Norm's Liquor Express Inc,3401 Grand River Ave,Detroit,MI,48208,592102,Liquors-Retail,42.34849156,-83.09193672
Northland Party Store Inc,18245 W 8 Mile Rd,Detroit,MI,48219,592102,Liquors-Retail,42.4440391,-83.221973
Northwest Store Inc,20447 W 7 Mile Rd,Detroit,MI,48219,592102,Liquors-Retail,42.42936845,-83.24363716
Omni Food & Beverage Inc,14701 W 7 Mile Rd,Detroit,MI,48235,592102,Liquors-Retail,42.42705888,-83.19480296
One Stop Liquor,8536 Linwood St,Detroit,MI,48206,592102,Liquors-Retail,42.3686274,-83.1051731
