CompanyName,Address,City,State,ZIPCode,PrimarySICCode,PrimarySICDescription,Latitude,Longitude
Wayne State University Law Sch,474 Gilmour Mall,Detroit,MI,48202,821103,Schools,42.37478762,-83.07771982
West Side Academy Alternative,4701 Mckinley St,Detroit,MI,48208,821103,Schools,42.34208675,-83.10258077
Western International High Sch,1500 Scotten St,Detroit,MI,48209,821103,Schools,42.3187717,-83.0914556
Weston Preparatory Academy,22930 Chippewa St,Detroit,MI,48219,821103,Schools,42.4391367,-83.2702119
Westside Academy High School,4701 Mckinley St,Detroit,MI,48208,821103,Schools,42.34208675,-83.10258077
Westside Christian Academy,9540 Bramell,Detroit,MI,48239,821101,Religious Schools,42.36459689,-83.26296435
White Elementary School,5161 Charles St,Detroit,MI,48212,821103,Schools,42.41180707,-83.04998098
William Beckham Academy,9860 Park Dr,Detroit,MI,48213,821103,Schools,42.4083508,-82.9785838
William Caldwell Piano Academy,20547 Prevost St,Detroit,MI,48235,829918,Music Instruction-Instrumental,42.4436219,-83.2050084
Winans Academy Performing Arts,9740 Mckinney St,Detroit,MI,48224,821103,Schools,42.413539,-82.9467203
Woodward Academy,14164 Rutland St,Detroit,MI,48227,821103,Schools,42.3901549,-83.2129939
